종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
동일제강,KOSPI,,4340,120,2.84,4220,4345,4220,96402,412417020,65100000000,15000000
동화약품,KOSPI,,14750,-100,-0.67,14800,14850,14700,138523,2045398050,411989182500,27931470
두산,KOSPI,,100000,10500,11.73,88900,101500,88800,289358,28434585800,1652383500000,16523835
두산밥캣,KOSPI,,42700,-650,-1.5,42600,43100,42150,229845,9785182250,4280639388200,100249166
두올,KOSPI,,5040,-120,-2.33,5150,5160,5000,618644,3123196330,145488067200,28866680
디씨엠,KOSPI,,17500,-50,-0.28,17550,17700,17200,23594,413017800,204750000000,11700000
디아이,KOSPI,,9490,-220,-2.27,9690,9780,9360,471430,4475485440,298904489650,31496785
디아이씨,KOSPI,,5620,40,0.72,5570,5630,5500,227805,1267268450,218553757780,38888569
디와이,KOSPI,,5800,10,0.17,5760,5820,5740,46823,270476800,152653871400,26319633
디와이파워,KOSPI,,15400,200,1.32,15150,15450,15150,63417,968389500,170042303200,11041708
락앤락,KOSPI,,11850,-200,-1.66,12000,12050,11700,156554,1853436600,628140510300,53007638
롯데관광개발,KOSPI,,19450,550,2.91,19000,20000,18900,1008188,19786348100,1347411625900,69275662
롯데손해보험,KOSPI,,1815,-5,-0.27,1820,1820,1805,241666,437619330,563260420800,310336320
롯데쇼핑,KOSPI,,107000,-500,-0.47,106500,107500,106000,42222,4514387500,3026896785000,28288755
롯데정밀화학,KOSPI,,70500,400,0.57,70300,71600,70300,114659,8127796800,1818900000000,25800000
롯데지주,KOSPI,,36000,500,1.41,35500,36200,35400,118784,4276237600,3776732532000,104909237
롯데케미칼,KOSPI,,246500,-3500,-1.4,250000,250000,245500,72059,17819145500,8448890783500,34275419
롯데푸드,KOSPI,,424500,4500,1.07,424000,425000,421000,661,279511500,513243847500,1209055
롯데하이마트,KOSPI,,31650,300,0.96,31350,31900,31100,52995,1669079750,747184084800,23607712
마니커,KOSPI,,488,13,2.74,472,514,465,10312869,5026025370,96854625872,198472594
만호제강,KOSPI,,22200,300,1.37,21850,22200,21600,5589,122166850,92130000000,4150000
메리츠금융지주,KOSPI,,30750,2000,6.96,28800,30850,28350,314189,9479818000,4120847290500,134011294
메리츠증권,KOSPI,,5510,150,2.8,5280,5530,5280,2569976,14049386840,3756335490290,681730579
메리츠화재,KOSPI,,29200,2650,9.98,27750,29300,27400,1187018,33790009600,3522250000000,120625000
메타랩스,KOSPI,,1085,10,0.93,1075,1090,1060,225540,241377350,71483395690,65883314
명문제약,KOSPI,,5560,20,0.36,5590,5590,5470,175834,973012310,188781204240,33953454
모나리자,KOSPI,,4600,20,0.44,4565,4610,4550,73656,337722980,168227773000,36571255
모나미,KOSPI,,5190,90,1.76,5100,5200,5060,147555,759678330,98077023330,18897307
모토닉,KOSPI,,12400,350,2.9,12250,12400,11900,177727,2172902000,409200000000,33000000
무림P&P,KOSPI,,4770,10,0.21,4805,4805,4710,64277,305867040,297496905480,62368324
무림페이퍼,KOSPI,,2975,20,0.68,2970,2995,2950,59803,177531690,123787697250,41609310
무학,KOSPI,,8850,1350,18.0,7510,9690,7510,2087754,18801620970,252225000000,28500000
문배철강,KOSPI,,4775,45,0.95,4720,4815,4690,212110,1013304805,97904236375,20503505
미래산업,KOSPI,,14800,700,4.96,14150,15000,14150,76062,1113210000,65889703600,4452007
미래아이앤지,KOSPI,,566,6,1.07,553,570,553,717108,404721179,73288027768,129484148
미래에셋생명,KOSPI,,4375,55,1.27,4335,4395,4335,112866,493576460,774445826875,177016189
미래에셋증권,KOSPI,,8960,140,1.59,8760,8980,8760,1220586,10869152400,5692435015680,635316408
미원상사,KOSPI,,204000,0,0.0,203500,205500,203500,685,139916000,1013880000000,4970000
미원에스씨,KOSPI,,186500,0,0.0,187000,188500,186500,749,140414500,951150000000,5100000
미원홀딩스,KOSPI,,130000,500,0.39,128000,130500,127500,1815,234816000,301600000000,2320000
미원화학,KOSPI,,79900,-100,-0.13,80000,80000,79900,455,36393400,175721513200,2199268
방림,KOSPI,,2520,25,1.0,2480,2520,2475,105789,264895700,106631506800,42314090
백광산업,KOSPI,,5640,160,2.92,5530,5670,5420,476423,2664422190,253339815480,44918407
백산,KOSPI,,9180,210,2.34,8900,9180,8850,299522,2712636190,222156000000,24200000
범양건영,KOSPI,,12800,450,3.64,12350,13000,12200,4822497,60784444950,317849369600,24831982
벽산,KOSPI,,4005,5,0.13,4000,4045,3965,459945,1841689075,274582800000,68560000
보락,KOSPI,,2360,10,0.43,2350,2370,2315,496283,1163582735,141364000000,59900000
보해양조,KOSPI,,1035,5,0.49,1020,1040,1020,974498,1005475270,141573488265,136785979
부광약품,KOSPI,,21900,200,0.92,21600,22400,21400,1288434,28217440550,1556280773100,71063049
부국증권,KOSPI,,24550,-50,-0.2,24700,24700,24300,2125,51927900,254580701300,10369886
부국철강,KOSPI,,6070,280,4.84,5820,6360,5750,2044702,12529599920,121400000000,20000000
부산산업,KOSPI,,137500,0,0.0,137500,139000,136500,2765,380090000,145200000000,1056000
부산주공,KOSPI,,609,47,8.36,564,677,557,18856736,11961760820,34621355853,56849517
비비안,KOSPI,,3415,45,1.34,3370,3435,3335,201734,680618185,101746475850,29793990
비상교육,KOSPI,,10150,240,2.42,9910,10250,9910,52190,526169820,131916921150,12996741
비케이탑스,KOSPI,,7190,190,2.71,6930,7320,6660,180284,1255363020,105519260840,14675836
빙그레,KOSPI,,56600,-500,-0.88,57200,57400,56300,22595,1281213700,557580240600,9851241
사조대림,KOSPI,,33000,2450,8.02,30500,33050,30100,158469,5069502450,302427411000,9164467
